city_name,population,country_code,timezone,latitude,longitude
's-Hertogenbosch,134520,NL,Europe/Amsterdam,51.69917,5.30417
6th of October City,368650,EG,Africa/Cairo,29.81667,31.05
A Coruña,246056,ES,Europe/Madrid,43.37135,-8.396
Aachen,265208,DE,Europe/Berlin,50.77664,6.08342
Aalborg,142937,DK,Europe/Copenhagen,57.048,9.9187
Aba,1160000,NG,Africa/Lagos,5.10658,7.36667
Abadan,370180,IR,Asia/Tehran,30.3392,48.3043
Abakaliki,134102,NG,Africa/Lagos,6.32485,8.11368
Abakan,184168,RU,Asia/Krasnoyarsk,53.71556,91.42917
Abbotsford,141397,CA,America/Vancouver,49.05798,-122.25257
Abbottabad,120000,PK,Asia/Karachi,34.1463,73.21168
Abengourou,130810,CI,Africa/Abidjan,6.72972,-3.49639
Abeokuta,735000,NG,Africa/Lagos,7.15571,3.34509
Aberdeen,198590,GB,Europe/London,57.14369,-2.09814
Aberdeen,157400,HK,Asia/Hong_Kong,22.24802,114.15289
Abha,210886,SA,Asia/Riyadh,18.21639,42.50528
Abidjan,6321017,CI,Africa/Abidjan,5.35444,-4.00167
Abiko,131771,JP,Asia/Tokyo,35.86667,140.01667
Abilene,125182,US,America/Chicago,32.44874,-99.73314
Abnūb,111785,EG,Africa/Cairo,27.26881,31.15232
Abobo,1340083,CI,Africa/Abidjan,5.41613,-4.0159
Abohar,130603,IN,Asia/Kolkata,30.14453,74.19552
Abomey,117824,BJ,Africa/Porto-Novo,7.18286,1.99119
Abomey-Calavi,385755,BJ,Africa/Porto-Novo,6.44852,2.35566
Abu Dhabi,1807000,AE,Asia/Dubai,24.45118,54.39696
Abuja,2690000,NG,Africa/Lagos,9.05785,7.49508
Abéché,139983,TD,Africa/Ndjamena,13.82916,20.8324
Abū Ghurayb,900000,IQ,Asia/Baghdad,33.30563,44.18477
Abū Kabīr,154466,EG,Africa/Cairo,30.72508,31.67148
Abū Tīj,105418,EG,Africa/Cairo,27.04514,31.31845
Acapulco de Juárez,673479,MX,America/Mexico_City,16.84942,-99.90891
Acarigua,188278,VE,America/Caracas,9.55451,-69.19564
Accra,1963264,GH,Africa/Accra,5.55602,-0.1969
Achalpur,111278,IN,Asia/Kolkata,21.25665,77.51006
Acheng,144665,CN,Asia/Shanghai,45.54558,126.95191
Achinsk,117634,RU,Asia/Krasnoyarsk,56.26792,90.50145
Acilia-Castel Fusano-Ostia Antica,129362,IT,Europe/Rome,41.76337,12.33078
Ad Dīwānīyah,318801,IQ,Asia/Baghdad,31.99289,44.92552
Ad-Damazin,186051,SD,Africa/Khartoum,11.7891,34.3592
Adana,1779463,TR,Europe/Istanbul,36.98615,35.32531
Adapazarı,286787,TR,Europe/Istanbul,40.78056,30.40333
Addis Ababa,3860000,ET,Africa/Addis_Ababa,9.02497,38.74689
Adelaide,1387290,AU,Australia/Adelaide,-34.92866,138.59863
Aden,863000,YE,Asia/Aden,12.77944,45.03667
Adiwerna,134188,ID,Asia/Jakarta,-6.9375,109.1325
Admiralteisky,157897,RU,Europe/Moscow,59.923,30.3
Ado-Ekiti,435000,NG,Africa/Lagos,7.62329,5.22087
Adoni,184625,IN,Asia/Kolkata,15.62788,77.27495
Adıyaman,267131,TR,Europe/Istanbul,37.76441,38.27629
Afyonkarahisar,251799,TR,Europe/Istanbul,38.75667,30.54333
Agadez,149549,NE,Africa/Niamey,16.97333,7.99111
Agadir,698310,MA,Africa/Casablanca,30.42018,-9.59815
Agartala,203264,IN,Asia/Kolkata,23.83605,91.27939
Ageo,226940,JP,Asia/Tokyo,35.97145,139.61382
Agra,1430055,IN,Asia/Kolkata,27.18333,78.01667
Aguascalientes,722250,MX,America/Mexico_City,21.88234,-102.28259
Ahmadnagar,367140,IN,Asia/Kolkata,19.09457,74.73843
Ahmadpur East,116579,PK,Asia/Karachi,29.14269,71.25771
Ahmedabad,6357693,IN,Asia/Kolkata,23.02579,72.58727
Ahuntsic-Cartierville,134245,CA,America/Toronto,45.56667,-73.66667
Ahvaz,841145,IR,Asia/Tehran,31.31901,48.6842
Aihara,725493,JP,Asia/Tokyo,35.6,139.31667
Airoli,100000,IN,Asia/Kolkata,19.15096,72.99625
